fragment,api,relevance
"ArrayList Vs LinkedList 

I was following a previous post on this that says:

> For LinkedList
> 
>   * get is O(n)
>   * add is O(1)
>   * remove is O(n)
>   * Iterator.remove is O(1)
> 

> 
> For ArrayList
> 
>   * get is O(1)
>   * add is O(1) amortized, but O(n) worst-case since the array must be resized and copied
>   * remove is O(n)
> 


So by looking at this, I concluded that if I've to do just sequential insert in my collection for say 5000000 elements, `LinkedList` will outclass `ArrayList`.

And if I've to just fetch the elements from collection by iterating i.e. not grabbing the element in middle, still `LinkedList` will outclass `ArrayList. 

Now to verify my above two statements, I wrote below sample program\\\\\\\xe2\\\\\\\x80\\\\\\\xa6 But I'm surprised that my above statements were proven wrong.

`ArrayList` outclassed `Linkedlist` in both the cases. It took less time than `LinkedList` for adding as well as fetching them from Collection. Is there anything I'm doing wrong, or the initial statements about `LinkedList` and `ArrayList` does not hold true for collections of size 5000000?

I mentioned size, because if I reduce the number of elements to 50000, `LinkedList` performs better and initial statements hold true.
    
    
    long nano1 = System.nanoTime();
    List arr = new ArrayList();
    for(int i = 0; i < 5000000; ++i) {
    arr.add(i);
    }
    System.out.println( (System.nanoTime() - nano1) );
    for(int j : arr) {
    ;
    }
    System.out.println( (System.nanoTime() - nano1) );
    long nano2 = System.nanoTime();
    List arrL = new LinkedList();
    for(int i = 0; i < 5000000; ++i) {
    arrL.add(i);
    }
    System.out.println( (System.nanoTime() - nano2) );
    for(int j : arrL) {
    ;
    }
    System.out.println( (System.nanoTime() - nano2) );
    

Remember that big-O complexity describes asymptotic behaviour and may not reflect actual implementation speed. It describes how the cost of each operation grows with the size of the list, not the speed of each operation. For example, the following implementation of `add` is O(1) but is not fast:
    
    
    public class MyList extends LinkedList {
    public void add(Object o) {
    Thread.sleep(10000);
    super.add(o);
    }
    }
    

I suspect in your case ArrayList is performing well because it increases it's internal buffer size fairly aggressively so there will not be a large number of reallocations. When the buffer does not need to be resized ArrayList will have faster `add`s.

You also need to be very careful when you do this kind of profiling. I'd suggest you change your profiling code to do a warm-up phase (so the JIT has the opportunity to do some optimization without affecting your results) and average the results over a number of runs.
    
    
    private final static int WARMUP = 1000;
    private final static int TEST = 1000;
    private final static int SIZE = 500000;
    public void perfTest() {
    // Warmup
    for (int i = 0; i < WARMUP; ++i) {
    buildArrayList();
    }
    // Test
    long sum = 0;
    for (int i = 0; i < TEST; ++i) {
    sum += buildArrayList();
    }
    System.out.println(""Average time to build array list: "" + (sum / TEST));
    }
    public long buildArrayList() {
    long start = System.nanoTime();
    ArrayList a = new ArrayList();
    for (int i = 0; i < SIZE; ++i) {
    a.add(i);
    }
    long end = System.nanoTime();
    return end - start;
    }
    ... same for buildLinkedList
    

(Note that `sum` may overflow and you might be better to use `System.currentTimeMillis()`).

It's also possible that the compiler is optimizing away your empty `get` loops. Make sure the loop actually does something to ensure that the right code is getting called.",ArrayList,1
"ArrayList Vs LinkedList 

I was following a previous post on this that says:

> For LinkedList
> 
>   * get is O(n)
>   * add is O(1)
>   * remove is O(n)
>   * Iterator.remove is O(1)
> 

> 
> For ArrayList
> 
>   * get is O(1)
>   * add is O(1) amortized, but O(n) worst-case since the array must be resized and copied
>   * remove is O(n)
> 


So by looking at this, I concluded that if I've to do just sequential insert in my collection for say 5000000 elements, `LinkedList` will outclass `ArrayList`.

And if I've to just fetch the elements from collection by iterating i.e. not grabbing the element in middle, still `LinkedList` will outclass `ArrayList. 

Now to verify my above two statements, I wrote below sample program\xe2\x80\xa6 But I'm surprised that my above statements were proven wrong.

`ArrayList` outclassed `Linkedlist` in both the cases. It took less time than `LinkedList` for adding as well as fetching them from Collection. Is there anything I'm doing wrong, or the initial statements about `LinkedList` and `ArrayList` does not hold true for collections of size 5000000?

I mentioned size, because if I reduce the number of elements to 50000, `LinkedList` performs better and initial statements hold true.
    
    
    long nano1 = System.nanoTime();
    List arr = new ArrayList();
    for(int i = 0; i < 5000000; ++i) {
    arr.add(i);
    }
    System.out.println( (System.nanoTime() - nano1) );
    for(int j : arr) {
    ;
    }
    System.out.println( (System.nanoTime() - nano1) );
    long nano2 = System.nanoTime();
    List arrL = new LinkedList();
    for(int i = 0; i < 5000000; ++i) {
    arrL.add(i);
    }
    System.out.println( (System.nanoTime() - nano2) );
    for(int j : arrL) {
    ;
    }
    System.out.println( (System.nanoTime() - nano2) );
    

You can separate add or remove as a two step operation.

> LinkedList: If you add a element to index n, you can move the pointer from 0 to n-1, then you can perform your so called O(1) add operation. Remove operation is the same.

* * *

> ArraryList: ArrayList implements the RandomAccess interface, which means it can access a element in O(1).  
>  If you add a element in index n, it can go to the the n-1 index in O(1), move the elements after n-1, add set the element in the n slot.  
>  The moving operation is performed by a native method called `System.arraycopy`, it's pretty fast. 
    
    
    public static void main(String[] args) {
    List arrayList = new ArrayList();
    for (int i = 0; i < 100000; i++) {
    arrayList.add(i);
    }
    List linkList = new LinkedList();
    long start = 0;
    long end = 0;
    Random random = new Random();
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.add(random.nextInt(100000), 7);
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList add ,random index"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.add(random.nextInt(100000), 7);
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList add ,random index"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.add(0, 7);
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList add ,index == 0"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.add(0, 7);
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList add ,index == 0"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.add(i);
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList add ,index == size-1"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.add(i);
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList add ,index == size-1"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.remove(Integer.valueOf(random.nextInt(100000)));
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList remove ,random index"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.remove(Integer.valueOf(random.nextInt(100000)));
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList remove ,random index"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.remove(0);
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList remove ,index == 0"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.remove(0);
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList remove ,index == 0"" + (end - start));
    }",List,0
"ArrayList Vs LinkedList 

I was following a previous post on this that says:

> For LinkedList
> 
>   * get is O(n)
>   * add is O(1)
>   * remove is O(n)
>   * Iterator.remove is O(1)
> 

> 
> For ArrayList
> 
>   * get is O(1)
>   * add is O(1) amortized, but O(n) worst-case since the array must be resized and copied
>   * remove is O(n)
> 


So by looking at this, I concluded that if I've to do just sequential insert in my collection for say 5000000 elements, `LinkedList` will outclass `ArrayList`.

And if I've to just fetch the elements from collection by iterating i.e. not grabbing the element in middle, still `LinkedList` will outclass `ArrayList. 

Now to verify my above two statements, I wrote below sample program\xe2\x80\xa6 But I'm surprised that my above statements were proven wrong.

`ArrayList` outclassed `Linkedlist` in both the cases. It took less time than `LinkedList` for adding as well as fetching them from Collection. Is there anything I'm doing wrong, or the initial statements about `LinkedList` and `ArrayList` does not hold true for collections of size 5000000?

I mentioned size, because if I reduce the number of elements to 50000, `LinkedList` performs better and initial statements hold true.
    
    
    long nano1 = System.nanoTime();
    List arr = new ArrayList();
    for(int i = 0; i < 5000000; ++i) {
    arr.add(i);
    }
    System.out.println( (System.nanoTime() - nano1) );
    for(int j : arr) {
    ;
    }
    System.out.println( (System.nanoTime() - nano1) );
    long nano2 = System.nanoTime();
    List arrL = new LinkedList();
    for(int i = 0; i < 5000000; ++i) {
    arrL.add(i);
    }
    System.out.println( (System.nanoTime() - nano2) );
    for(int j : arrL) {
    ;
    }
    System.out.println( (System.nanoTime() - nano2) );
    

You can separate add or remove as a two step operation.

> LinkedList: If you add a element to index n, you can move the pointer from 0 to n-1, then you can perform your so called O(1) add operation. Remove operation is the same.

* * *

> ArraryList: ArrayList implements the RandomAccess interface, which means it can access a element in O(1).  
>  If you add a element in index n, it can go to the the n-1 index in O(1), move the elements after n-1, add set the element in the n slot.  
>  The moving operation is performed by a native method called `System.arraycopy`, it's pretty fast. 
    
    
    public static void main(String[] args) {
    List arrayList = new ArrayList();
    for (int i = 0; i < 100000; i++) {
    arrayList.add(i);
    }
    List linkList = new LinkedList();
    long start = 0;
    long end = 0;
    Random random = new Random();
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.add(random.nextInt(100000), 7);
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList add ,random index"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.add(random.nextInt(100000), 7);
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList add ,random index"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.add(0, 7);
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList add ,index == 0"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.add(0, 7);
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList add ,index == 0"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.add(i);
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList add ,index == size-1"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.add(i);
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList add ,index == size-1"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.remove(Integer.valueOf(random.nextInt(100000)));
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList remove ,random index"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.remove(Integer.valueOf(random.nextInt(100000)));
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList remove ,random index"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    linkList.remove(0);
    }
    end = System.currentTimeMillis();
    System.out.println(""LinkedList remove ,index == 0"" + (end - start));
    start = System.currentTimeMillis();
    for (int i = 0; i < 10000; i++) {
    arrayList.remove(0);
    }
    end = System.currentTimeMillis();
    System.out.println(""ArrayList remove ,index == 0"" + (end - start));
    }",LinkedList,0
"JDialog is never garbage collected 

Why does the following code never garbage collect the JDialog instance ? The instance X has no reference and the dialog has been disposed.
    
    
    public class Test {
    public static void main(String[] args) throws Throwable {
    test();
    Runtime.getRuntime().gc();
    }
    public static void test() throws Throwable {
    X x = new X();
    x.setVisible(true);
    x.dispose();
    }
    public static class X extends JDialog {
    public X() {
    super();
    }
    @Override
    protected void finalize() throws Throwable {
    System.out.println(""destroyed !"");
    super.finalize();
    }
    }
    }
    

Thank you

The question is (and some of the answers are) mixing two things, garbage collection and finalization. Runtime.getRuntime().gc() is just a hint that the collection should run and it\\\\\\\xe2\\\\\\\x80\\\\\\\x99s very likely that the Dialog has been collected afterward (there\\\\\\\xe2\\\\\\\x80\\\\\\\x99s still no guaranty). But this does not mean that the finalizer will run. The virtual machine will avoid running finalize methods as much as it can.

There is another issue with your test program. JDialog without a parent forces Swing to create an anonymous Frame as parent behind the scenes which will stay alive with unpredictable results (AWT runs within a different thread).

Try this test program:
    
    
    import java.lang.ref.WeakReference;
    import javax.swing.JDialog;
    import javax.swing.JFrame;
    public class Test {
    public static void main(String[] args) throws Throwable {
    WeakReference ref = test();
    Runtime.getRuntime().gc();
    System.out.println(ref.get()==null? ""collected"": ""still flying around"");
    }
    public static WeakReference test() throws Throwable {
    JDialog d = new JDialog(new JFrame());
    WeakReference ref = new WeakReference(d);
    d.setVisible(true);
    d.dispose();
    d.getOwner().dispose();
    return ref;
    }
    }
    

This works for me.

An alternative to Runtime.getRuntime().gc() is:
    
    
    try {
    byte[] b = new byte[Integer.MAX_VALUE];
    } catch(OutOfMemoryError err) {}
    

as the vm guarantees performing gc before OOME (might not work with 64bit vms ;-) ).",String,1
"Printing HashMap In Java 

I have a HashMap:
    
    
    private HashMap example= new HashMap();
    

Now I would Like to run through all the values and print them.

I wrote this:
    
    
    for (TypeValue name: this.example.keySet()){
    System.out.println(name);
    } 
    

It doesn't seem to work.

What is the problem?

EDIT: Another question: Is this collection zero based? I mean if it has 1 key and value will the size be 0 or 1?

keySet() only returns a set of key in your hashmap , you should iterate this key set and the get the value from the hashmap using these keys .

In your example , the type of the hashmap 's key is `TypeKey` , but you specified `TypeValue` in your generic for-loop , so it cannot be compiled. You should change it to :
    
    
    for (TypeKey name: example.keySet()){
    String key =name.toString();
    String value = example.get(name).toString(); 
    System.out.println(key + "" "" + value); 
    } 
    

If you don't require to print key value and just need the hashmap value , you can use others' suggestion .

> Another question: Is this collection is zero base? I mean if it has 1 key and value will it size be 0 or 1?

The collection returned from `keySet()` is a Set.You cannot get the value from a Set using an index , so it is not an question whether it is zero-based or one-based. If your hashmap has one key , the keySet() returned will has one entry inside , and its size is 1.",String,1
"Printing HashMap In Java 

I have a HashMap:
    
    
    private HashMap example= new HashMap();
    

Now I would Like to run through all the values and print them.

I wrote this:
    
    
    for (TypeValue name: this.example.keySet()){
    System.out.println(name);
    } 
    

It doesn't seem to work.

What is the problem?

EDIT: Another question: Is this collection zero based? I mean if it has 1 key and value will the size be 0 or 1?

A simple print statement with the variable name which contains the reference of the Hash Map would do :
    
    
    HashMap HM = new HashMap<>(); //empty
    System.out.println(HM); //prints key value pairs enclosed in {}
    

This works because the `toString()`method is already over-ridden in the `AbstractMap class` which is extended by the `HashMap Class` More information from the documentation 

> Returns a string representation of this map. The string representation consists of a list of key-value mappings in the order returned by the map's entrySet view's iterator, enclosed in braces (""{}""). Adjacent mappings are separated by the characters "", "" (comma and space). Each key-value mapping is rendered as the key followed by an equals sign (""="") followed by the associated value. Keys and values are converted to strings as by String.valueOf(Object).",HashMap,0
"Why does some libs define their own collections? 

For example, in Jsoup, they defined a class Elements to collect Element(s).

It's common to define a class A and As which contains a lot of A(s). But why? Why don't we just use ArrayList or something?

The `Elements` class in JSoup has many specific methods to its function e.g.
    
    
    toggleClass(String className) 
    html()
    

Which wouldn't be available on ArrayList. I guess `ArrayList` could have been extended, but the author of `Elements` has gone for composition. `Elements` HAS-A `ArrayList` instance which it keeps private. `Elements` exposes methods of the List interface, bespoke methods and others.

But `Elements` is backed by an ArrayList - this way the author can also decorate the methods of ArrayList he chooses to make public via his own Class. This is an extract from the source code:
    
    
     private List contents;
    public Elements() {
    contents = new ArrayList();
    }
    

BTW: You used to see wrappers pre Java 5 to give type safety to Java `Collections`, but since Java 5 Generics have stopped a lot of this.",List,1
"Why does some libs define their own collections? 

For example, in Jsoup, they defined a class Elements to collect Element(s).

It's common to define a class A and As which contains a lot of A(s). But why? Why don't we just use ArrayList or something?

The `Elements` class in JSoup has many specific methods to its function e.g.
    
    
    toggleClass(String className) 
    html()
    

Which wouldn't be available on ArrayList. I guess `ArrayList` could have been extended, but the author of `Elements` has gone for composition. `Elements` HAS-A `ArrayList` instance which it keeps private. `Elements` exposes methods of the List interface, bespoke methods and others.

But `Elements` is backed by an ArrayList - this way the author can also decorate the methods of ArrayList he chooses to make public via his own Class. This is an extract from the source code:
    
    
     private List contents;
    public Elements() {
    contents = new ArrayList();
    }
    

BTW: You used to see wrappers pre Java 5 to give type safety to Java `Collections`, but since Java 5 Generics have stopped a lot of this.",String,1
"Why does some libs define their own collections? 

For example, in Jsoup, they defined a class Elements to collect Element(s).

It's common to define a class A and As which contains a lot of A(s). But why? Why don't we just use ArrayList or something?

The `Elements` class in JSoup has many specific methods to its function e.g.
    
    
    toggleClass(String className) 
    html()
    

Which wouldn't be available on ArrayList. I guess `ArrayList` could have been extended, but the author of `Elements` has gone for composition. `Elements` HAS-A `ArrayList` instance which it keeps private. `Elements` exposes methods of the List interface, bespoke methods and others.

But `Elements` is backed by an ArrayList - this way the author can also decorate the methods of ArrayList he chooses to make public via his own Class. This is an extract from the source code:
    
    
     private List contents;
    public Elements() {
    contents = new ArrayList();
    }
    

BTW: You used to see wrappers pre Java 5 to give type safety to Java `Collections`, but since Java 5 Generics have stopped a lot of this.",ArrayList,1
"What's the best practice for returning an internal collection in Java? 

I'm curious what is considered a better practice when returning a collection of objects from a mutable class:
    
    
    public class Someclass {
    public List strings; 
    public add(String in){ strings.add(in); }
    public remove(String in) { strings.remove(in); } 
    //THIS
    public List getStrings(){
    return Collections.unmodifiableList(strings);
    }
    //OR THIS
    public List getStrings(){
    return new ArrayList(strings);
    }
    }
    

I always assumed wrapping the internal collection in an Unmodifiable was the best approach since I didn't see a reason to incur the overhead of creating a copy. However, it occurred to me that any changes made to the list internally would be exposed to the client which strikes me as bad.

'new ArrayList(strings)' is safer than 'Collections.unmodifiableList(strings)'.

Because Collections.unmodifiableList just forwards the source list.

Sample:
    
    
    List list1 = someclass.getStrings(); //Use Collections.unmodifiableList(strings) implementation
    List list2 = someclass.getStrings(); //Use new ArrayList(strings) implementation
    someclass.add(""foo"");
    

Now, you'll see list1 is added! list2 not.",List,0
"What's the best practice for returning an internal collection in Java? 

I'm curious what is considered a better practice when returning a collection of objects from a mutable class:
    
    
    public class Someclass {
    public List strings; 
    public add(String in){ strings.add(in); }
    public remove(String in) { strings.remove(in); } 
    //THIS
    public List getStrings(){
    return Collections.unmodifiableList(strings);
    }
    //OR THIS
    public List getStrings(){
    return new ArrayList(strings);
    }
    }
    

I always assumed wrapping the internal collection in an Unmodifiable was the best approach since I didn't see a reason to incur the overhead of creating a copy. However, it occurred to me that any changes made to the list internally would be exposed to the client which strikes me as bad.

'new ArrayList(strings)' is safer than 'Collections.unmodifiableList(strings)'.

Because Collections.unmodifiableList just forwards the source list.

Sample:
    
    
    List list1 = someclass.getStrings(); //Use Collections.unmodifiableList(strings) implementation
    List list2 = someclass.getStrings(); //Use new ArrayList(strings) implementation
    someclass.add(""foo"");
    

Now, you'll see list1 is added! list2 not.",Collections,0
"Extending a non-generic class to a generic class 

The Java class CircularFifoBuffer in the package org.apache.commons.collections.buffer is non-generic, and can store objects of any class.

I would like to create a generified version of this, that can only hold objects of class T. My first thought was to extend CircularFifoBuffer and simply write a new 'add' method:
    
    
    public class CircularFifoQueue extends CircularFifoBuffer {
    public boolean add(T data) {
    return super.add(data);
    } 
    }
    

However, this leaves the old 'add' method in place, allowing for objects of arbitrary class to be added. Is there a way around this that uses inheritance rather than composition (so that I don't have to re-implement all of CircularFifoBuffer's methods) but prevents users of the class from adding non-T objects?

You can try the following approach. It is not very elegant, but it should do the job:
    
    
    public class CircularFifoQueue extends CircularFifoBuffer {
    private Class klass;
    public CircularFifoQueue(Class klass) {
    this.klass = klass; 
    }
    @Override
    public boolean add(Object data) {
    T typedData = klass.cast(data);
    return super.add(typedData);
    }
    public boolean add(T data) {
    return super.add(data);
    } 
    }
    ...
    CircularFifoQueue queue = new CircularFifoQueue(String.class);
    queue.add(""hello""); // should work
    queue.add(123L); // should throw ClassCastException
    

Anyway, implementing a class that delegates its method calls is not very hard. Any decent IDE will autogenerate that for you.",Object,0
"Java String Memory Leak 

I am not java expert.

My code is reading a file into a `String`. This code gets executed every 5 minutes. The size of file varies. Sometimes it is 100 sometimes it is 1000 lines.

I am experience Out Of Memory, after some days.

The question I have is, when my codes goes out of scope of the `Reading file function`, does Java garbage collect the String?

I am pretty confused by reading on the internet. Some people says it does not get deleted and use `StringBuffer`.
    
    
    // Demonstrate FileReader.
    import java.io.*;
    class FileReaderDemo {
    public static void read(BufferedReader br) throws Exception {
    long length = 0;
    String s;
    while (true) {
    s = br.readLine();
    s += ""abcd"";
    if (s == null) {
    break;
    }
    length += s.length();
    //System.out.println(s);
    }
    System.out.println(""Read: "" + (length / 1024 / 1024) + "" MB"");
    }
    public static void main(String args[]) throws Exception {
    //FileReader fr = new FileReader(""FileReaderDemo.java"");
    FileReader fr = new FileReader(""big_file.txt.1"");
    BufferedReader br = new BufferedReader(fr);
    String s;
    read(br);
    fr = new FileReader(""big_file.txt.1"");
    br = new BufferedReader(fr);
    read(br);
    fr = new FileReader(""big_file.txt.1"");
    br = new BufferedReader(fr);
    read(br);
    fr = new FileReader(""big_file.txt.1"");
    br = new BufferedReader(fr);
    read(br);
    BufferedReader in = new BufferedReader(new InputStreamReader(System. in )); in .readLine();
    fr.close();
    }
    }
    

The code that you have posted won't leak memory. However, the `while (true)` loop will never terminate because `s` will never be `null` at the point that you test it.

* * *

Lets change it a bit to make it ""work""
    
    
     public static void read(BufferedReader br) throws Exception {
    long length = 0;
    String s = """";
    while (true) {
    String ss = br.readLine();
    if (ss == null) {
    break;
    }
    s += ss;
    length += ss.length();
    }
    System.out.println(""Read: "" + (length/1024/1024) + "" MB"");
    }
    

This code doesn't leak memory either because the Strings created in the method will all be candidates for garbage collection when the method returns (if not before).

Each time we execute `s += ss;` a new string is created consisting of all of the characters currently in `s` and the characters in `ss`. Assuming there are N lines containing an average of L characters, the `s += ss;` statement will be called N times, will create N strings, and will copy on average `(N * L)^2 / 2` characters. 

* * *

However, there is a good reason to make a `StringBuilder` and that is to reduce the amount of String allocation and character copying that goes on. Lets rewrite the method to use a `StringBuilder`; i.e. a replacement for `StringBuffer` that is not synchronized.
    
    
     public static void read(BufferedReader br) throws Exception {
    long length = 0;
    StringBuilder sb = new StringBuilder(sb);
    while (true) {
    String ss = br.readLine();
    if (ss == null) {
    break;
    }
    sb.append(ss);
    length += ss.length();
    }
    System.out.println(""Read: "" + (length/1024/1024) + "" MB"");
    }
    

This version will reallocate the StringBuilder's internal character array at most `log2(N)` times and copy at most `2 * N * L` characters.

* * *

Summary - using the StringBuilder is a good idea, but not because of memory leaks. If you have a memory leak, it is not in the original sample code or in the fixed version.",String,1
"What is LinkedHashMap? 

Ok so i am new to these HashMaps but have some idea about LinkedLists and HashMaps. It would be great if you could give me some simple explanation regarding LinkedHashMap and as in the titile does this mean we are explicitly defining it to be of some type?

> A LinkedHashMap is a combination of hash table and linked list. It has a predictable iteration order (a la linked list), yet the retrieval speed is that of a HashMap. The order of the iteration is determined by the insertion order, so you will get the key/values back in the order that they were added to this Map. You have to be a bit careful here, since re-inserting a key does not change the original order.

k stand for Key and v for Value.
    
    
    /*
    Simple Java LinkedHashMap example
    This simple Java Example shows how to use Java LinkedHashMap.
    It also describes how to add something to LinkedHashMap and how to
    retrieve the value added from LinkedHashMap.
    */
    import java.util.LinkedHashMap;
    public class JavaLinkedHashMapExample {
    public static void main(String[] args) {
    //create object of LinkedHashMap
    LinkedHashMap lHashMap = new LinkedHashMap();
    /*
    Add key value pair to LinkedHashMap using
    Object put(Object key, Object value) method of Java LinkedHashMap class,
    where key and value both are objects
    put method returns Object which is either the value previously tied
    to the key or null if no value mapped to the key.
    */
    lHashMap.put(""One"", new Integer(1));
    lHashMap.put(""Two"", new Integer(2));
    /*
    Please note that put method accepts Objects. Java Primitive values CAN NOT
    be added directly to LinkedHashMap. It must be converted to corrosponding
    wrapper class first.
    */
    //retrieve value using Object get(Object key) method of Java LinkedHashMap class
    Object obj = lHashMap.get(""One"");
    System.out.println(obj);
    /*
    Please note that the return type of get method is an Object. The value must
    be casted to the original class.
    */
    }
    }
    /*
    Output of the program would be
    1
    */",String,1
"What is LinkedHashMap? 

Ok so i am new to these HashMaps but have some idea about LinkedLists and HashMaps. It would be great if you could give me some simple explanation regarding LinkedHashMap and as in the titile does this mean we are explicitly defining it to be of some type?

> A LinkedHashMap is a combination of hash table and linked list. It has a predictable iteration order (a la linked list), yet the retrieval speed is that of a HashMap. The order of the iteration is determined by the insertion order, so you will get the key/values back in the order that they were added to this Map. You have to be a bit careful here, since re-inserting a key does not change the original order.

k stand for Key and v for Value.
    
    
    /*
    Simple Java LinkedHashMap example
    This simple Java Example shows how to use Java LinkedHashMap.
    It also describes how to add something to LinkedHashMap and how to
    retrieve the value added from LinkedHashMap.
    */
    import java.util.LinkedHashMap;
    public class JavaLinkedHashMapExample {
    public static void main(String[] args) {
    //create object of LinkedHashMap
    LinkedHashMap lHashMap = new LinkedHashMap();
    /*
    Add key value pair to LinkedHashMap using
    Object put(Object key, Object value) method of Java LinkedHashMap class,
    where key and value both are objects
    put method returns Object which is either the value previously tied
    to the key or null if no value mapped to the key.
    */
    lHashMap.put(""One"", new Integer(1));
    lHashMap.put(""Two"", new Integer(2));
    /*
    Please note that put method accepts Objects. Java Primitive values CAN NOT
    be added directly to LinkedHashMap. It must be converted to corrosponding
    wrapper class first.
    */
    //retrieve value using Object get(Object key) method of Java LinkedHashMap class
    Object obj = lHashMap.get(""One"");
    System.out.println(obj);
    /*
    Please note that the return type of get method is an Object. The value must
    be casted to the original class.
    */
    }
    }
    /*
    Output of the program would be
    1
    */",Object,1
"How to sort two different objects in a collection? 

Suppose I have two classes CLassA and CLassB. And they have one atributte in common, for example the number of elements that each class holds.

How can i create a collection from objects of ClassA and CLassB and sort by that attribute (ascending of descending order, doesn't matter)?

I made a collection of type but when I try to implement the Comparable Interface i can't acess to that method (a get that returns the nr of elements for example).

What solutions do I have?

Thanks for your help! 

If you have access to the declaration of CLassA and ~B, then go with a common interface, if not you could write a Wrapper for both Classes: 

I defined - against the description - my own classes ~A and ~B, to have something to test. Imagine they're foreign source, and you just have access to the classes. 
    
    
    import java.util.*;
    public class SortAB
    {
    class CLassA {
    int [] elements;
    public CLassA (int [] a) {elements = a;}
    public int getElementCount () {return elements.length;}
    }
    class CLassB {
    List  elements;
    public CLassB (List  l) {elements = l;}
    public int getElementCount () {return elements.size ();}
    }
    /** a common element-count-wrapper with compareTo method */ 
    abstract class EcWrapper  implements Comparable  {
    public abstract int getElementCount ();
    public int compareTo (EcWrapper o) {return getElementCount () - o.getElementCount ();}
    }
    /** concrete Wrapper for CLassA */
    class EcAWrapper extends EcWrapper  {
    private CLassA inner;
    public EcAWrapper (CLassA t) {
    inner = t;
    }
    public int getElementCount () {return inner.getElementCount (); }
    }
    /** concrete Wrapper for CLassB */
    class EcBWrapper extends EcWrapper  {
    private CLassB inner;
    public EcBWrapper (CLassB t) {
    inner = t;
    }
    public int getElementCount () {return inner.getElementCount (); }
    }
    // testing
    public SortAB ()
    {
    int [] ia = {3, 5, 7, 6, 9, 11, 14}; 
    List  il = new ArrayList  (); 
    for (int i: ia) 
    il.add (i); 
    il.add (15);
    il.add (16);
    CLassA a = new CLassA (ia);
    CLassB b = new CLassB (il);
    List  list = new ArrayList  ();
    list.add (new EcBWrapper (b));
    list.add (new EcAWrapper (a));
    show (list);
    Collections.sort (list);
    show (list);
    }
    public static void main (String args[])
    {
    new SortAB ();
    }
    public static void show (List  list)
    {
    for (EcWrapper e: list) 
    System.out.println (""\\t"" + e.getElementCount ());
    System.out.println (""---"");
    }
    }",List,0
